t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 9	0.0	pos	0.99157158	0.97797791	1.01010089	0.99875555	0.97870072	1.02433037	0.99777117	0.98542302	1.01918061	0.9928423	0.9810230	1.0087808	0.9966658	0.9868043	1.0065868
 9	0.3	neg	0.97212809	0.94863024	0.99272468	0.97373089	0.95437064	0.99488873	0.97383450	0.95074133	0.99546292	0.9950484	0.9838081	1.0057731	0.9967101	0.9863702	1.0081121
 9	0.3	pos	0.98129855	0.96462905	0.99949803	1.10591793	1.08362824	1.12195063	1.10714235	1.08419020	1.13027976	0.9943393	0.9839983	1.0044046	1.0205526	1.0102500	1.0315160
 9	0.6	neg	0.61425615	0.59761114	0.63160004	0.60187945	0.58100844	0.61564240	0.60139149	0.58622923	0.61854520	0.9751518	0.9622325	0.9905725	0.9772306	0.9635959	0.9935999
 9	0.6	pos	0.63587736	0.61988693	0.65071584	3.16731918	3.08945236	3.23224874	3.17483028	3.10659151	3.24296057	0.9873165	0.9707435	1.0053414	1.1482256	1.1316692	1.1627568
 9	0.9	neg	0.09995506	0.09833615	0.10164778	0.08034841	0.07877757	0.08230180	0.08019741	0.07831778	0.08209193	0.9580446	0.9482536	0.9689812	0.9584447	0.9479119	0.9693600
 9	0.9	pos	0.09861977	0.09768268	0.09999894	6.53965535	6.42117408	6.68026404	6.54161669	6.42766578	6.65032580	0.9493612	0.9449666	0.9538088	1.6669437	1.6562701	1.6774846
10	0.0	neg	0.97647249	0.95950671	0.99732242	0.97772756	0.95732450	0.99724362	0.97849501	0.95761330	1.00010728	0.9878628	0.9749018	0.9989722	0.9885914	0.9766146	0.9997934
10	0.0	pos	1.00279911	0.99291016	1.01589915	1.00865425	0.99799699	1.02301126	1.00697257	0.99667295	1.02161556	0.9967101	0.9911347	1.0042727	1.0001006	0.9923900	1.0081397
10	0.3	neg	0.99778653	0.97897712	1.01853773	0.99818875	0.98225504	1.01853580	0.99912539	0.98286847	1.01776470	0.9995452	0.9883341	1.0090905	1.0009603	0.9901609	1.0110855
10	0.3	pos	0.97812155	0.96283353	0.99691323	1.03925770	1.02237636	1.06440229	1.04006572	1.02088614	1.06176110	0.9872974	0.9790352	0.9974061	1.0065607	0.9958001	1.0179060
10	0.6	neg	0.70848552	0.69030606	0.72617714	0.69801227	0.67845683	0.71522086	0.69978397	0.68489280	0.71607854	0.9823921	0.9708288	0.9971149	0.9829486	0.9716513	0.9944132
